Source;Target;Type;id;label;timeset;weight
31;49;Directed;1575;;;9.0
31;50;Directed;1576;;;155.0
31;51;Directed;1577;;;277.0
31;52;Directed;1578;;;229.0
32;1;Directed;1579;;;447.0
32;2;Directed;1580;;;2876.0
32;3;Directed;1581;;;859.0
32;4;Directed;1582;;;126.0
32;5;Directed;1583;;;101.0
32;6;Directed;1584;;;24.0
32;7;Directed;1585;;;50.0
32;8;Directed;1586;;;452.0
32;9;Directed;1587;;;949.0
32;10;Directed;1588;;;167.0
32;11;Directed;1589;;;67.0
32;12;Directed;1590;;;61.0
32;13;Directed;1591;;;319.0
32;14;Directed;1592;;;55.0
32;15;Directed;1593;;;136.0
32;16;Directed;1594;;;110.0
32;17;Directed;1595;;;88.0
32;18;Directed;1596;;;148.0
32;19;Directed;1597;;;110.0
32;20;Directed;1598;;;153.0
32;21;Directed;1599;;;168.0
32;22;Directed;1600;;;496.0
32;23;Directed;1601;;;60.0
32;24;Directed;1602;;;82.0
32;25;Directed;1603;;;31.0
32;26;Directed;1604;;;120.0
32;27;Directed;1605;;;82.0
32;28;Directed;1606;;;119.0
32;29;Directed;1607;;;23.0
32;30;Directed;1608;;;2204.0
32;31;Directed;1609;;;301.0
32;33;Directed;1610;;;254.0
32;34;Directed;1611;;;17.0
32;35;Directed;1612;;;12.0
32;36;Directed;1613;;;226.0
32;37;Directed;1614;;;83.0
32;38;Directed;1615;;;65.0
32;39;Directed;1616;;;28.0
32;40;Directed;1617;;;124.0
32;41;Directed;1618;;;29.0
32;42;Directed;1619;;;206.0
32;43;Directed;1620;;;19.0
32;44;Directed;1621;;;174.0
32;45;Directed;1622;;;20.0
32;46;Directed;1623;;;125.0
32;47;Directed;1624;;;736.0
32;48;Directed;1625;;;55.0
32;49;Directed;1626;;;11.0
32;50;Directed;1627;;;168.0
32;51;Directed;1628;;;30.0
32;52;Directed;1629;;;70.0
33;1;Directed;1630;;;19.0
33;2;Directed;1631;;;145.0
33;3;Directed;1632;;;56.0
33;4;Directed;1633;;;149.0
33;5;Directed;1634;;;102.0
33;6;Directed;1635;;;3.0
33;7;Directed;1636;;;38.0
33;8;Directed;1637;;;79.0
33;9;Directed;1638;;;427.0
33;10;Directed;1639;;;253.0
33;11;Directed;1640;;;69.0
33;12;Directed;1641;;;32.0
33;13;Directed;1642;;;78.0
33;14;Directed;1643;;;75.0
33;15;Directed;1644;;;24.0
33;16;Directed;1645;;;26.0
33;17;Directed;1646;;;24.0
33;18;Directed;1647;;;57.0
33;19;Directed;1648;;;8.0
33;20;Directed;1649;;;591.0
33;21;Directed;1650;;;45.0
33;22;Directed;1651;;;57.0
33;23;Directed;1652;;;19.0
33;24;Directed;1653;;;24.0
33;25;Directed;1654;;;47.0
33;26;Directed;1655;;;67.0
33;27;Directed;1656;;;52.0
33;28;Directed;1657;;;48.0
33;29;Directed;1658;;;24.0
33;30;Directed;1659;;;848.0
33;31;Directed;1660;;;149.0
33;32;Directed;1661;;;98.0
33;34;Directed;1662;;;21.0
33;35;Directed;1663;;;17.0
33;36;Directed;1664;;;109.0
33;37;Directed;1665;;;52.0
33;38;Directed;1666;;;512.0
33;39;Directed;1667;;;42.0
